"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Vermont Technical College",,,,,,,,16,19,18,18,17,16,
"Vet Tech Institute of Houston",,,,,,,,,,,,,,
"Veritas Baptist College",,,,,,,,,,,,,,
"Venango County Area Vocational Technical School",,,,,,,,,,,,,,
"Veeb Nassau County School of Practical Nursing",,,,,,,,,,,,,,
"Utica University",,,,,,,,18,18,16,18,,18,19
"Upper Cape Cod Regional Technical School",,,,,,,,,,,,,,
"UPMC St. Margaret School of Nursing",,,,,,,19,,,,,,,
"UPMC Shadyside School of Nursing",,,,,,,,,,,,,,
"Villa Maria College",,,,,,,,,,,,,,
"Washburn Institute of Technology",,,,,,,,,,,,,,
"Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Washington College",,,,,,,,24,23,21,22,21,21,19
"Yeshiva D'monsey Rabbinical College",,,,,,,,,,,,,,
"Yeshiva Bais Aharon",,,,,,,,,,,,,,
"Worcester Polytechnic Institute",,,,,,,,,,,,,25,25
"Wood County School of Practical Nursing",,,,,,,,,,,,,,
"Wilson Workforce and Rehabilitation Center",,,,,,,,,,,,,,
"Willamette University",,,,,,25,24,24,25,27,25,25,25,24
"Whitworth University-Adult Degree Programs",,,,,,,,,,,,,,
"Wheelock College",,,,12,15,18,15,19,18,17,18,18,18,16
"Washington & Jefferson College",,,,,,,,,,,22,22,23,22
"Western Pennsylvania Hospital School of Nursing",,,,,,,,,,,,,,
"Western Area Career & Technology Center",,,,,,,,,,,,,,
"Westcliff University",,,,,,,,,,,,,,
"West Coast University-Orange County",,,,,,,,,,,,,,
"West Coast University-Ontario",,,,,,,,,,,,,,
"West Coast University-Miami",,,,,,,,,,,,,,
"West Coast University-Los Angeles",,,,,,,,,,,,,,
"West Coast University-Dallas",,,,,,,,,,,,,,
"Wesleyan University",,,,,,,,29,29,30,30,27,28,28
"Western Connecticut State University",,,,,,,18,,,,,,,
"UPMC Jameson School of Nursing",,,,,,,,,,,,,,
"Universidad Central Del Caribe",,,,,,,,,,,,,,
"University of Wisconsin-Milwaukee Flex",,,,,,,,,,,,,,
"University of Arkansas Community College-Morrilton",,,,,18,17,17,17,,,,,,
"University of Alaska Southeast",,,,,,,,,,,,17,21,20
"University of Alaska Anchorage",,,,,,,,,,,17,17,17,18
"University of Advancing Technology",,,,,,,,,19,16,,,,
"Universidad del Sagrado Corazon",,,,,,,,,,,,,,
"Yeshiva Derech Chaim",,,,,,,,,,,,,,
"Universidad Central de Bayamon",,,,,,,,,,,,,,
"Universidad Adventista de las Antillas",,,,,,,,,,,,,,
"Universal Healthcare Careers College",,,,,,,,,,,,,,
"Unity College",,,,,,,,,,,,,,
"United Technical Center",,,,,,,,,,,,,,
"Ulster BOCES-School of Practical Nursing",,,,,,,,,,,,,,
"Ukiah Adult School",,,,,,,,,,,,,,
"Trinity Washington University",,,,,,,,,,,,,,
"Trinity School of Health and Allied Sciences",,,,,,,,,,,,,,
"Trinity Health System School of Nursing",,,,,17,21,,19,,19,,,19,20
"Trinity College of Nursing & Health Sciences",,,,,,,,,,,,,,
"University of Holy Cross",,,,18,18,,,,,,,,,
"University of Maine at Farmington",,,,,,,,,,,,,,
"University of Maine at Presque Isle",,,,,,,,,,,,,,
"University of Massachusetts Global",,,,,,,,,,,,,,
"University of Wisconsin Colleges Flex",,,,,,,,,,,,,,
"University of Wisconsin Colleges",,,,17,18,18,18,18,18,18,18,18,18,18
"University of Valley Forge",,,,,,18,17,19,19,15,17,,,
"University of the Southwest",,,,,15,,,,,,16,15,15,14
"University of Silicon Valley",,,,,,,,,,19,,,,
"University of Puget Sound",,,,,,,25,25,26,26,25,25,25,25
"University of Puerto Rico-Utuado",,,,,,,,,,,,,,
"University of Puerto Rico-Rio Piedras",,,,,,,,,,,,,,
"University of Wisconsin-Parkside Flex",,,,,,,,,,,,,,
"University of Puerto Rico-Mayaguez",,,,,,,,,,,,,,
"University of Puerto Rico-Cayey",,,,,,,,,,,,,,
"University of Puerto Rico-Carolina",,,,,,,,,,,,,,
"University of Puerto Rico-Bayamon",,,,,,,,,,,,,,
"University of Puerto Rico-Arecibo",,,,,,,,,,,,,,
"University of Puerto Rico-Aguadilla",,,,,,,,,,,,,,
"University of Puerto Rico at Ponce",,,,,,,,,,,,,,
"University of Pikeville",,,,18,17,18,18,16,,,,,,
"University of Massachusetts-Boston",,,,21,21,,,,,,,,,
"University of Puerto Rico-Humacao",,,,,,,,,,,,,,
"Yeshiva Gedolah Kesser Torah",,,,,,,,,,,,,,
"Carthage R9 School District-Carthage Technical Center",,,,,,,,,,,,,,
"Yeshiva Gedolah Shaarei Shmuel",,,,,,,,,,,,,,
"Shimer College",,,,,,,,,,,,,,
"School of the Museum of Fine Arts at Tufts University",,,,,,,,,,,,20,20,22
"Santa Fe University of Art and Design",,,,,,,,17,18,17,21,21,21,20
"Saint Josephs College",,,,,21,19,18,19,19,18,18,18,19,18
"Roane State Community College",,,,,17,17,17,17,16,17,17,17,17,17
"Rizzieri Aveda School for Beauty and Wellness",,,,,,,,,,,,,,
"Purdue University-North Central Campus",,,,,19,18,18,17,18,18,18,17,18,17
"Purdue University-Calumet Campus",,,,,18,,,,,,,,,
"Prism Career Institute-West Atlantic City",,,,,,,,,,,,,,
"Prism Career Institute-Philadelphia",,,,,,,,,,,,,,
"Prism Career Institute-Cherry Hill",,,,,,,,,,,,,,
"Omaha School of Massage and Healthcare of Herzing University",,,,,,,,,,,,,,
"New Horizons Medical Institute",,,,,,,,,,,,,,
"National University College-Rio Grande",,,,,,,,,,,,,,
"National University College-Ponce",,,,,,,,,,,,,,
"National University College-Caguas",,,,,,,,,,,,,,
"National University College-Arecibo",,,,,,,,,,,,,,
"Southeastern Bible College",,,,,18,18,18,16,16,19,15,16,17,17
"St. Gregory's University",,,,,,,,,18,,16,17,17,17
"Stevens-The Institute of Business & Arts",,,,,,,,,,,,,,
"Syracuse City Schools Practical Nursing Program",,,,,,,,,,,,,,
"College of Massage Therapy",,,,,,,,,,,,,,
"Coleman University",,,,,,,,,,,,,,
"Central Baptist Theological Seminary",,,,,,,,,,,,,,
"Center for Advanced Legal Studies",,,,,,,,,,,,,,
"Carolina School of Broadcasting",,,,,,,,,,,,,,
"Brooks Institute",,,,,,,,,,,,,,
"Bristol University",,,,,,,,,,,,,,
"Atelier Esthetique Institute of Esthetics",,,,,,,,,,,,,,
"Medical Professional Institute",,,,,,,,,,,,,,
"ATA College",,,,,,,,,,,,,,
"YTI Career Institute-York",,,,,,,,,,,,,,
"Yeshivas Maharit D'Satmar",,,,,,,,,,,,,,
"Wood Tobe-Coburn School",,,,,,,,,,,,,,
"Valley Forge Military College",,,,,18,16,14,15,,,,,,
"Unitek College",,,,,,,,,,,,,,
"Unitek College",,,,,,,,,,,,,,
"Trocaire College",,,,,,,,,,,,,,
"Trine University-Arizona Regional Campus",,,,,,,,,,,,,,
"AIB College of Business",,,,,,,,,,,19,,,
"McNally Smith College of Music",,,,,,,,,,,,,,
"Marylhurst University",,,,,,,,,,,,,,
"Instituto Tecnologico de Puerto Rico-Recinto de Guayama",,,,,,,,,,,,,,
"Yeshivat Mikdash Melech",,,,,,,,,,,,,,
"Yeshivas Novominsk",,,,,,,,,,,,,,
"Yeshivas Be'er Yitzchok",,,,,,,,,,,,,,
"Yeshiva Zichron Aryeh",,,,,,,,,,,,,,
"Yeshiva Yesodei Hatorah",,,,,,,,,,,,,,
"Yeshiva Toras Chaim",,,,,,,,,,,,,,
"Yeshiva Sholom Shachna",,,,,,,,,,,,,,
"Yeshiva Shaarei Torah of Rockland",,,,,,,,,,,,,,
"Yeshivath Beth Moshe",,,,,,,,,,,,,,
"Yeshiva Shaar Hatorah",,,,,,,,,,,,,,
"Yeshiva Ohr Naftoli",,,,,,,,,,,,,,
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",,,,,,,,,,,,,,
"Yeshiva of the Telshe Alumni",,,,,,,,,,,,,,
"Yeshiva of Machzikai Hadas",,,,,,,,,,,,,,
"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",,,,,,,,,,,,,,
"Yeshiva Kollel Tifereth Elizer",,,,,,,,,,,,,,
"Yeshiva Karlin Stolin",,,,,,,,,,,,,,
"Yeshiva Gedolah Zichron Leyma",,,,,,,,,,,,,,
"Yeshiva Ohr Yisrael",,,,,,,,,,,,,,
"Yeshiva Gedolah of Greater Detroit",,,,,,,,,,,,,,
"Yeshivath Viznitz",,,,,,,,,,,,,,
"Zaytuna College",,,,,30,,,,,,,,,
"Huntingdon County Career and Technology Center",,,,,,,,,,,,,,
"Greene County Career and Technology Center",,,,,,,,,,,,,,
"Global Health College",,,,,,,,,,,,,,
"Glenville State University",,,,,16,17,17,16,16,16,17,20,16,16
"Epic Bible College & Graduate School",,,,,,,,,,,,,,
"Delaware Chenango Madison Otsego BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"CUNY Medgar Evers College",,,,,,,,,,,,,,
"Concordia College Alabama",,,,,,,11,,,,,,,
"Yeshivath Zichron Moshe",,,,,,,,,,,,,,
"College of Staten Island CUNY",,,,,,,,,,,,,,
"Center for Neurosomatic Studies",,,,,,,,,,,,,,
"Trident University International",,,,,,,,,,,,,,
"Cambridge Junior College-Woodland",,,,,,,,,,,,,,
"Brown & Clermont Adult Career Campuses",,,,,,,,,,,,,,
"Be'er Yaakov Talmudic Seminary",,,,,,,,,,,,,,
"Atlanta Institute of Music and Media",,,,,,,,,,,,,,
"Aquinas College",,,,,21,21,20,23,20,19,17,18,18,18
"Alabama School of Nail Technology & Cosmetology",,,,,,,,,,,,,,
"Central Coast College",,,,,,,,,,,,,,
"Touro College",,,,,,,,,,,,,,
"Susquehanna University",,,,,,,,23,23,23,23,21,22,
"Toledo Public Schools Adult and Continuing Education",,,,,,,,,,,,,,
"Putnam Westchester BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Professional Skills Institute",,,,,,,,,,,,,,
"Post University",,,,,15,17,6,16,15,16,15,14,,
"Portland Actors Conservatory",,,,,,,,,,,,,,
"Pontifical College Josephinum",,,,,,,24,,,20,16,19,17,20
"Pontifical Catholic University of Puerto Rico-Ponce",,,,,,,,,,,,,,
"Pontifical Catholic University of Puerto Rico-Mayaguez",,,,,,,,,,,,,,
"Pontifical Catholic University of Puerto Rico-Arecibo",,,,,,,,,,,,,,
"Pomeroy College of Nursing at Crouse Hospital",,,,,,,,,,,,,17,21
"Plymouth State University",,,,,,,,18,17,18,18,14,18,17
"Plaza College",,,,,,,,,,,,,,
"Platt College-Aurora",,,,,,,,,,,,,,
"Pitzer College",,,,,,,,,,,,,,
"Pittsburgh Institute of Mortuary Science Inc",,,,,,,,,,,,,,
"Pine Manor College",,,,,,,,,13,15,,15,14,14
"Phillips School of Nursing at Mount Sinai Beth Israel",,,,,,,,,,,,,,
"Pennsylvania State University-Penn State Schuylkill",,,,16,15,16,17,18,17,14,15,15,17,17
"Rabbi Jacob Joseph School",,,,,,,,,,,,,,
"Rabbinical Academy Mesivta Rabbi Chaim Berlin",,,,,,,,,,,,,,
"Rabbinical College Beth Shraga",,,,,,,,,,,,,,
"Rabbinical College of America",,,,,,,,,,,,,,
"Rust College",,,,,13,14,14,13,13,14,14,14,14,14
"Russell Sage College",,,,,,,,,,,24,22,20,19
"Rollins College",,,,,,,,24,24,24,,23,23,23
"Rolla Technical Institute/Center",,,,,,,,,,,,,,
"Roger Williams University",,,,,,,,,,22,,21,,21
"Robert Morris University Illinois",,,,,,,,,,,,,,
"Rivier University",,,,,,,18,17,17,17,17,16,,18
"Riverside College of Health Careers",,,,,,,,,,,,,,
"Pennsylvania College of Health Sciences",,,,,,,,,,,,,,
"Rio Grande Bible Institute",,,,,,,,,,,,,,
"Ridley-Lowell Business & Technical Institute-New London",,,,,,,,,,,,,,
"Richard Bland College",,,,,,,,11,,,,,,
"Regis College",,,,,,,,19,19,15,17,16,16,5
"Reading Hospital School of Health Sciences",,,,,,,,19,21,20,,,,
"Radford University",,,,,,,18,18,19,17,19,19,20,19
"Rabbinical Seminary of America",,,,,,,,,,,,,,
"Rabbinical College Telshe",,,,,,,,,,,,,,
"Rabbinical College of Long Island",,,,,,,,,,,,,,
"Ringling College of Art and Design",,,,,,,,,,,,,,
"Pennsylvania College of Art and Design",,,,,,,,,,,,,,
"Pennsylvania Academy of the Fine Arts",,,,,,,,,,,,,,
"Penn Commercial Business/Technical School",,,,,,,,,,,,,,
"Northern Tier Career Center",,,,,,,,,,,,,,
"Northern Arizona University",,,,,,,,20,20,20,20,21,20,20
"North-West College-West Covina",,,,,,,,,,,,,,
"Nichols College",,,,,,,,19,18,,17,16,16,
"Newschool of Architecture and Design",,,,,,,,,,,,,,
"Newbury College",,,,,,,,,,,,,,
"New York Conservatory for Dramatic Arts",,,,,,,,,,,,,,
"New Jersey City University",,,,,,,,,15,19,,,,
"Northern Vermont University",,,,20,15,14,19,15,17,17,17,16,16,
"New Hope Christian College-Eugene",,,,,,,,,,,,,,
"New England School of Photography",,,,,,,,,,,,,,
"New England College",,,,,,,,,,,,,15,
"New Castle School of Trades",,,,,,,,,,,,,,
"Nevada State College",,,,,,,,,,,16,,,
"Nevada Regional Technical Center",,,,,,,,,,,,,,
"Neumont College of Computer Science",,,,,,,,21,,,,,,
"Ner Israel Rabbinical College",,,,,,,,,,,,,,
"Neighborhood Playhouse School of the Theater",,,,,,,,,,,,,,
"New Hampshire Institute of Art",,,,,,,,,,,,,,
"SABER College",,,,,,,,,,,,,,
"Northwestern College",,,,,,,,,,,,,,
"Norwich University",,,,,,,20,21,21,20,20,19,19,18
"Paul Smiths College of Arts and Science",,,,,,,,20,18,18,17,,,
"Paroba College of Cosmetology",,,,,,,,,,,,,,
"Park University",,,,,,,,,17,19,20,19,18,19
"Pacific Rim Christian University",,,,,,,,,,,,,,
"Pacific Northwest College of Art",,,,,,,,,,,,,,
"Pacific Islands University",,,,,,,,,,,,,,
"Orleans Technical College",,,,,,,,,,,,,,
"Orleans Niagara BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Northwestern College-Chicago Campus",,,,,,,,,,,,,,
"Oregon College of Art and Craft",,,,,,,,,,,,,,
"Ohr Hameir Theological Seminary",,,,,,,,,,,,,,
"Ohio Wesleyan University",,,,,,,,22,23,22,23,24,24,24
"Ohio Media School-Valley View",,,,,,,,,,,,,,
"Ohio Media School-Columbus",,,,,,,,,,,,,,
"Ohio Media School-Cincinnati",,,,,,,,,,,,,,
"O'More College of Design",,,,18,18,,20,20,18,19,20,19,21,22
"NUC University",,,,,,,,,,,,,,
"Nossi College of Art",,,,,,,,,,,,,,
"Orange Ulster BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Sacred Heart Major Seminary",,,,,,,,,21,,,,,
"Sacred Heart University",,,,,,,,,,,,,,
"Saint Anthony College of Nursing",,,,,,,,,,,,,,
"Talmudical Yeshiva of Philadelphia",,,,,,,,,,,,,,
"Talmudical Seminary Oholei Torah",,,,,,,,,,,,,,
"Talmudical Seminary of Bobov",,,,,,,,,,,,,,
"Talmudical Institute of Upstate New York",,,,,,,,,,,,,,
"Talmudical Academy-New Jersey",,,,,,,,,,,,,,
"Sutter County Career Training Center",,,,,,,,,,,,,,
"Covenant School of Nursing and Allied Health",,,,,,,,,,,,,,
"SUNY College at Potsdam",,,,,,,,,,,20,20,20,
"Taylor Business Institute",,,,,,,,,,,,,,
"SUNY College at Old Westbury",,,,19,19,,20,19,20,19,20,19,18,
"Sullivan College of Technology and Design",,,,,,,,,,,,,,
"Studio Incamminati",,,,,,,,,,,,,,
"Stratford School of Aviation Maintenance Technicians",,,,,,,,,,,,,,
"Stonehill College",,,,,,,,22,24,25,,,24,23
"Stillman College",,,,,14,14,15,17,16,16,16,16,16,14
"Stetson University",,,,,,,,23,25,22,21,21,21,21
"Sterling College",,,,,,,,,,,,,,
"Standard Healthcare Services-College of Nursing",,,,,,,,,,,,,,
"Sumner College",,,,,,,,,,,,,,
"Stanbridge University",,,,,,,,,,,,,,
"TDDS Technical Institute",,,,,,,,,,,,,,
"Temple University",,,,,,,22,22,21,21,21,21,20,20
"Tiffin University",,,,,,,,18,18,18,18,17,18,18
"Thomas More College of Liberal Arts",,,,,,,,,,,,,,
"Theatre of Arts",,,,,,,,,,,,,,
"The University of the Arts",,,,,19,19,18,18,19,19,18,20,18,20
"The North Coast College",,,,,,,,,,,,,,
"The New England Conservatory of Music",,,,,,,,,,,,,,
"The Modern College of Design",,,,,,,,,,,,,,
"The Juilliard School",,,,,,,,,,,,,,
"Telshe Yeshiva-Chicago",,,,,,,,,,,,,,
"The Creative Center",,,,,,,,,,,,,,
"The College of Saint Rose",,,,,,,,,,,,20,20,22
"The Colburn Conservatory of Music",,,,,,,,,,,,,,
"The Chicago School of Professional Psychology at Los Angeles",,,,,,,,,,,,,,
"The Catholic University of America",,,,,,,22,22,22,22,21,21,22,21
"The Art Institute of Cincinnati-AIC College of Design",,,,,,,,,,,,,,
"The Ailey School",,,,,,,,,,,,,,
"Thaddeus Stevens College of Technology",,,,,,,,,,,,,,
"Texas County Technical College",,,,,,,,,,,,,,
"The College of Westchester",,,,,,,,,,,,,,
"Torah Temimah Talmudical Seminary",,,,,,,,,,,,,,
"St. Peter's Hospital College of Nursing",,,,,,,,,,,,,,
"St. John Vianney College Seminary",,,,,,,,,,,,,,
"Shaw University",,,,,,,,,,,,11,13,12
"Shasta Bible College and Graduate School",,,,,,,,,,,,,,
"Sh'or Yoshuv Rabbinical College",,,,,,,,,,,,,,
"Seton Hill University",,,,,,,,19,20,19,,,,
"Seminar L'moros Bais Yaakov",,,,,,,,,,,,,,
"School of Professional Horticulture - New York Botanical Garden",,,,,,,,,,,,,,
"School of Automotive Machinists & Technology",,,,,,,,,,,,,,
"San Juan Bautista School of Medicine",,,,,,,,,,,,,,
"Shawnee State University",,,,18,18,,,,,,,,,
"San Francisco Conservatory of Music",,,,,,,,,,,,,,
"San Diego Culinary Institute",,,,,,,,,,,,,,
"Samaritan Hospital School of Nursing",,,,,,,,,,,,,,
"Salve Regina University",,,,,,,,23,22,22,22,22,22,21
"Salisbury University",,,,,,,,22,22,22,21,22,20,20
"Saline County Career Center",,,,,,,,,,,,,,
"Saint Michael's College",,,,,,,,23,23,23,22,22,22,21
"Saint Elizabeth College of Nursing",,,,,,,,,,,,,,
"Saint Charles Borromeo Seminary-Overbrook",,,,,,,,,,,,,,
"San Francisco Art Institute",,,,,,,,22,20,20,21,20,20,16
"St. Joseph's College of Nursing",,,,,,,,21,22,22,19,19,17,
"Shepherds College",,,,,,,,,,,,,,
"Shorter University-College of Adult & Professional Programs",,,,,,,,,,,,,,
"St Vincent's College",,,,,,,,,,,,,,
"St Luke's College",,,,,,,,19,21,18,21,,,16
"St Louis College of Health Careers-Fenton",,,,,,,,,,,,,,
"St Joseph School of Nursing",,,,,,,,,,,,,,
"Southwest Tennessee Community College",,,,,,,,13,14,14,14,14,,14
"Southside College of Health Sciences",,,,,,,,,,,,,,
"Southern Westchester BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Southern Vermont College",,,,,14,17,15,16,17,16,15,19,14,14
"Shiloh University",,,,,,,,,,,,,,
"Southern States University",,,,,,,,,,,,,,
"Southern California Institute of Technology",,,,,,,,,,,,,,
"Southeastern Technical Institute",,,,,,,,,,,,,,
"Southeastern Baptist Theological Seminary",,,,,,,,16,,,,,,
"South Hills School of Business & Technology",,,,,,,,,,,,,,
"Smith College",,,,,,,,,,,,25,25,25
"Signature Healthcare Brockton Hospital School of Nursing",,,,,,,,,,,,,,
"Siena Heights University",,,,,,18,19,19,18,18,17,18,17,18
"Siena College",,,,,,,23,22,23,22,22,23,20,23
"Southern New Hampshire University",,,,,,,,,,,18,18,,
"Crossroads College",,,,,,,,,,14,17,17,17,17
"ITT Technical Institute-Charlotte South",,,,,,,,,,,,,,
"CVPH Medical Center School of Radiologic Technology",,,,,,,,,,,,,,
"Northwest Nannies Institute",,,,,,,,,,,,,,
"North-West College-Van Nuys",,,,,,,,,,,,,,
"North-West College-Riverside",,,,,,,,,,,,,,
"North-West College-Pomona",,,,,,,,,,,,,,
"North-West College-Long Beach",,,,,,,,,,,,,,
"North-West College-Glendale",,,,,,,,,,,,,,
"North-West College-Anaheim",,,,,,,,,,,,,,
"Nevada Career Institute",,,,,,,,,,,,,,
"Missouri Tech",,,,,,,,,,,,,,
"Milligan College",,,,,,,22,22,21,21,21,20,20,22
"Mercy School of Nursing",,,,,,,,,,,,,,
"Medical Career Institute",,,,,,,,,,,,,,
"Med-Assist School of Hawaii Inc",,,,,,,,,,,,,,
"L'Academie de Cuisine",,,,,,,,,,,,,,
"Kennesaw State University",,,,,,,21,21,20,20,20,20,20,20
"Keiser University-Ft Lauderdale",,,,,,,,,,,,,,
"J Everett Light Career Center",,,,,,,,,,,,,,
"Northwood University-Florida",,,,,,,17,17,18,18,17,17,18,18
"Ohio Christian University",,,,,,,17,17,17,17,17,16,17,17
"Pacific College of Health Science-Chicago",,,,,,,,,,,,,,
"Professional Massage Training Center",,,,,,,,,,,,,,
"Tennessee Temple University",,,,,,,18,16,16,16,17,15,17,17
"SUNY Empire State College",,,,,,,,,,,,,,
"Summit Salon Academy-Gainesville",,,,,,,,,,,,,,
"Spartan College of Aeronautics and Technology",,,,,,,,,,,,,,
"Southern Polytechnic State University",,,,,,,22,22,21,21,21,20,20,19
"Southeastern College-West Palm Beach",,,,,,,,,,,,,,
"Southeastern College-Jacksonville",,,,,,,,,,,,,,
"Southeastern College-Columbia",,,,,,,,,,,,,,
"ITT Technical Institute-Overland Park",,,,,,,,,,,,,,
"Southeastern College-Charlotte",,,,,,,,,,,,,,
"Skyline College-Roanoke",,,,,,,,,,,,,,
"Sessions College for Professional Design",,,,,,,,,,,,,,
"Saint John's Seminary",,,,,,,,,,,,,,
"Saint Francis Medical Center School of Nursing",,,,,,,,,,,,,,
"Rockland County BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Rensselaer BOCES-Practical Nursing Program",,,,,,,,,,,,,,
"Remington College-Tampa Campus",,,,,,,,,,,,,,
"Rabbinical Seminary Mkor Chaim",,,,,,,,,,,,,,
"Southeastern College-Charleston",,,,,,,,,,,,,,
"ITT Technical Institute-Green Bay",,,,,,,,,,,,,,
"ITT Technical Institute-Culver City",,,,,,,,,,,,,,
"ITT Technical Institute-Cary",,,,,,,,,,,,,,
"Brensten Education",,,,,,,,,,,,,,
"Brand College",,,,,,,,,,,,,,
"Bon Secours Memorial College of Nursing",,,,,,,,,,,,,,
"Bethesda University",,,,,,,,,,,,,,
"Aveda Arts & Sciences Institute Seattle",,,,,,,,,,,,,,
"Ascent College",,,,,,,,,,,,,,
"Alexandria School of Scientific Therapeutics",,,,,,,,,,,,,,
"Alexander Paul Institute of Hair Design",,,,,,,,,,,,,,
"Briar Cliff University",,,,,,,19,,,,,,,
"Washington Hospital School of Radiologic Technology",,,,,,,,,,,,,18,18
"University of Arkansas-Fort Smith",,,,,,,,19,19,19,19,19,19,19
"Trinity Lutheran College",,,,,,,,,14,,,20,14,14
"Thomas College",,,,,,,,16,16,16,,15,18,15
"The Boston Conservatory",,,,,,,,,21,,,,,
"South College-Asheville",,,,,,,,,,,,,,
"Shawsheen Valley School of Practical Nursing",,,,,,,,,,,,,,
"Saint Catharine College",,,,,,18,,,,,,,,
"Rogers State University",,,,,,16,16,17,17,18,17,,,
"Vaughn College of Aeronautics and Technology",,,,,,,,,,17,,,,
"Touro University Worldwide",,,,,,,,,,,,,,
"Burlington College",,,,,,,,,,,,,,
"Calumet College of Saint Joseph",,,,,,,,15,16,14,,,,
"Interface College-Spokane",,,,,,,,,,,,,,
"Husson University",,,,,,,17,17,19,17,16,17,,
"Houston International College Cardiotech Ultrasound School",,,,,,,,,,,,,,
"Harcum College",,,,,,,,,,,,,,
"Gods Bible School and College",,,,,,,,,,,,,,
"Glendale Career College",,,,,,,,,,,,,,
"FINE Mortuary College",,,,,,,,,,,,,,
"Dowling College",,,,,,,,,,,,,,
"Butler Technology and Career Development Schools",,,,,,,,,,,,,,
"DeVry University-Utah",,,,,,,,,,,,,,
"Dance Theatre of Harlem Inc",,,,,,,,,,,,,,
"D'Mart Institute",,,,,,,,,,,,,,
"Colorado Christian University",,,,,,,,,,,,,19,20
"College of the Marshall Islands",,,,,,,,,,,,,,
"Cleveland State Community College",,,,,,,17,17,16,16,16,17,16,16
"Clearwater Christian College",,,,,,,18,19,19,19,19,19,19,19
"Casal Aveda Institute",,,,,,,,,,,,,,
"Cambridge Technical Institute",,,,,,,,,,,,,,
"DeVry University-Maryland",,,,,,,,,,,,,,
"Remington College-Shreveport Campus",,,,,,,,,,,,,,
"Trine University-Regional/Non-Traditional Campuses",,,,,,,,,,,,,,
"W F Kaynor Technical High School",,,,,,,,,,,,,,
"Minnesota School of Business-Richfield",,,,,,,,,,,,21,,
"Mercy-St Luke's School of Radiologic Technology",,,,,,,,,,,,19,18,
"Firelands Regional Medical Center School of Nursing",,,,,,,,,,,,21,20,20
"Faxton-St Luke's Healthcare School of Radiologic Technology",,,,,,,,,,,,19,,17
"Columbia State Community College",,,,,,,,,,,,16,17,17
"Avera McKennan Hospital School of Radiologic Technology",,,,,,,,,,,,10,12,12
"Western Oklahoma State College",,,,,,,,,,,16,16,16,16
"Wesley College",,,,,,,,,,,14,,,
"Victory University",,,,,,,,,,,15,16,16,
"Utah State University-Regional Campuses and Distance Education",,,,,,,,,,,18,18,17,18
"Tennessee State University",,,,,,,,,,,16,16,16,16
"Springfield Regional School of Nursing",,,,,,,,,,,18,18,20,19
"Southern Catholic College",,,,,,,,,,,16,15,,
"South Georgia College",,,,,,,,,,,16,16,,
"Sanford Medical Center",,,,,,,,,,,22,22,22,22
"Sage College of Albany",,,,,,,,,,,20,19,19,18
"Rocky Mountain College of Art and Design",,,,,,,,,,,19,18,17,
"Minnesota School of Business-Waite Park",,,,,,,,,,,,21,,
"Southwest University of Visual Arts-Albuquerque",,,,,,,,,,,,16,17,17
"Southwest University of Visual Arts-Tucson",,,,,,,,,,,,16,16,18
"Springfield College in Illinois",,,,,,,,,,,,17,16,17
"Nazareth College",,,,,,,,,,,,,,22
"Saint Joseph Seminary College",,,,,,,,,,,,,,4
"Northpoint Bible College",,,,,,,,,,,,,,14
"Nichols Career Center",,,,,,,,,,,,,,20
"Minnesota School of Business-Plymouth",,,,,,,,,,,,,,21
"Hobe Sound Bible College",,,,,,,,,,,,,,14
"Heritage Valley Sewickley School of Nursing",,,,,,,,,,,,,,16
"Darton State College",,,,,,,,,,,,,,15
"Nashville State Community College",,,,,,,,,,,15,15,15,15
"CHI Health School of Radiologic Technology",,,,,,,,,,,,,,19
"Brandywine School of Nursing",,,,,,,,,,,,,,20
"Barnes-Jewish College Goldfarb School of Nursing",,,,,,,,,,,,,,23
"American Indian College Inc",,,,,,,,,,,,,,16
"Westwood College-Ft Worth",,,,,,,,,,,,,20,17
"The Illinois Institute of Art-Chicago",,,,,,,,,,,,,16,10
"The Art Institute of Washington",,,,,,,,,,,,,17,14
"Blessing Rieman College of Nursing and Health Sciences",,,,,,,,,,,,,22,21
"Washington Health System School of Nursing",,,,,,,,,,,,18,19,19
"Chattanooga State Community College",,,,,,,,,,,,,,15
"Lambuth University",,,,,,,,,,,18,20,20,20
"Jackson State Community College",,,,,,,,,,,16,16,16,16
"Institute of Production and Recording",,,,,,,,,,,22,21,,
"Lyme Academy College of Fine Arts",,,,,,,,,16,23,,4,15,
"Gainesville State College",,,,,,,,,17,17,,,,
"Central Bible College",,,,,,,,,19,,18,18,18,18
